id,i1_overs,i1_limit,i2_overs,i2_limit,is_short,result,pp_i1,pp_i2,full_game,i1_balls,i2_balls
335982,20,balls,16,wickets,0,i1,6,6,1,120,120
335983,20,balls,20,balls,0,i1,6,6,1,120,120
335984,20,balls,16,win,0,i2,6,6,1,120,120
335985,20,balls,20,win,0,i2,6,6,1,120,120
335986,19,wickets,19,win,0,i2,6,6,1,120,120
335987,20,balls,19,win,0,i2,6,6,1,120,120
335988,20,balls,14,win,0,i2,6,6,1,120,120
335989,20,balls,20,balls,0,i1,6,6,1,120,120
335990,20,balls,20,win,0,i2,6,6,1,120,120
335991,20,wickets,20,balls,0,i1,6,6,1,120,120
335992,20,balls,18,win,0,i2,6,6,1,120,120
335993,20,balls,17,win,0,i2,6,6,1,120,120
335994,20,balls,12,win,0,i2,6,6,1,120,120
335995,20,balls,20,win,0,i2,6,6,1,120,120
335996,20,balls,20,wickets,0,i1,6,6,1,120,120
335997,20,balls,19,win,0,i2,6,6,1,120,120
335998,20,balls,20,balls,0,i1,6,6,1,120,120
335999,20,balls,19,win,0,i2,6,6,1,120,120
336000,20,balls,20,wickets,0,i1,6,6,1,120,120
336001,20,balls,19,win,0,i2,6,6,1,120,120
336002,20,wickets,19,win,0,i2,6,6,1,120,120
336003,20,balls,20,balls,0,i1,6,6,1,120,120
336004,20,balls,19,wickets,0,i1,6,6,1,120,120
336005,19,wickets,15,win,0,i2,6,6,1,120,120
336006,20,wickets,19,win,0,i2,6,6,1,120,120
336007,20,balls,18,win,0,i2,6,6,1,120,120
336008,17,wickets,16,win,0,i2,6,6,1,120,120
336009,20,balls,20,win,0,i2,6,6,1,120,120
336010,16,balls,16,balls,0,i1,5,5,0,96,96
336011,20,balls,16,win,0,i2,6,6,1,120,120
336012,18,balls,16,win,0,i2,5,5,0,108,108
336013,20,balls,20,balls,0,i1,6,6,1,120,120
336014,20,balls,20,balls,0,i1,6,6,1,120,120
336015,20,balls,20,win,0,i2,6,6,1,120,120
336016,20,balls,16,win,0,i2,6,6,1,120,120
336017,20,balls,18,wickets,0,i1,6,6,1,120,120
336018,20,balls,14,win,0,i2,6,6,1,120,120
336019,20,balls,20,balls,0,i1,6,6,1,120,120
336020,20,balls,20,balls,0,i1,6,6,1,120,120
336021,16,wickets,6,win,0,i2,6,6,1,120,120
336022,11,balls,8,balls,D/L,i1,6,3,0,check,66
336023,20,balls,20,balls,0,i1,6,6,1,120,120
336024,20,balls,20,balls,0,i1,6,6,1,120,120
336025,20,balls,8,balls,D/L,i1,6,6,0,120,120
336026,20,balls,19,win,0,i2,6,6,1,120,120
336027,20,balls,17,win,0,i2,6,6,1,120,120
336028,20,balls,20,wickets,0,i1,6,6,1,120,120
336029,20,balls,20,balls,0,i1,6,6,1,120,120
336031,20,balls,20,win,0,i2,6,6,1,120,120
336032,20,balls,20,win,0,i2,6,6,1,120,120
336033,20,balls,20,balls,0,i1,6,6,1,120,120
336034,20,balls,20,balls,0,i1,6,6,1,120,120
336035,20,balls,20,win,0,i2,6,6,1,120,120
336036,20,balls,20,win,0,i2,6,6,1,120,120
336037,20,balls,20,win,0,i2,6,6,1,120,120
336038,20,balls,17,wickets,0,i1,6,6,1,120,120
336039,20,balls,15,win,0,i2,6,6,1,120,120
336040,20,balls,20,win,0,i2,6,6,1,120,120
392181,20,balls,20,balls,0,i1,6,6,1,120,120
392182,20,balls,16,wickets,0,i1,6,6,1,120,120
392183,12,balls,5,win,D/L,i2,4,2,0,72,check
392184,20,wickets,14,win,0,i2,6,6,1,120,120
392185,20,balls,16,wickets,0,i1,6,6,1,120,120
392186,20,balls,10,balls,D/L,i1,6,6,0,120,120
392188,20,balls,20,balls,0,i1,6,6,1,120,120
392189,20,balls,20,balls,0,i1,6,6,1,120,120
392190,20,balls,20,win,0,i2,6,6,1,120,120
392191,20,balls,19,win,0,i2,6,6,1,120,120
392192,20,balls,20,balls,0,i1,6,6,1,120,120
392194,20,balls,20,win,0,i2,6,6,1,120,120
392195,20,balls,20,balls,0,i1,6,6,1,120,120
392196,20,balls,20,win,0,i2,6,6,1,120,120
392197,20,balls,16,balls,0,i1,6,6,1,120,120
